stage,true_label,predicted_label,count
PRIMARY,LEFT,LEFT,0
PRIMARY,LEFT,RIGHT,5
PRIMARY,LEFT,STRAIGHT,0
PRIMARY,LEFT,UNKNOWN,0
PRIMARY,RIGHT,LEFT,0
PRIMARY,RIGHT,RIGHT,2
PRIMARY,RIGHT,STRAIGHT,1
PRIMARY,RIGHT,UNKNOWN,0
PRIMARY,STRAIGHT,LEFT,0
PRIMARY,STRAIGHT,RIGHT,6
PRIMARY,STRAIGHT,STRAIGHT,0
PRIMARY,STRAIGHT,UNKNOWN,0
SECONDARY,LEFT,LEFT,0
SECONDARY,LEFT,RIGHT,6
SECONDARY,LEFT,STRAIGHT,0
SECONDARY,LEFT,UNKNOWN,0
SECONDARY,RIGHT,LEFT,0
SECONDARY,RIGHT,RIGHT,4
SECONDARY,RIGHT,STRAIGHT,1
SECONDARY,RIGHT,UNKNOWN,0
SECONDARY,STRAIGHT,LEFT,0
SECONDARY,STRAIGHT,RIGHT,4
SECONDARY,STRAIGHT,STRAIGHT,3
SECONDARY,STRAIGHT,UNKNOWN,0
FUSED,LEFT,LEFT,0
FUSED,LEFT,RIGHT,5
FUSED,LEFT,STRAIGHT,0
FUSED,LEFT,UNKNOWN,0
FUSED,RIGHT,LEFT,0
FUSED,RIGHT,RIGHT,1
FUSED,RIGHT,STRAIGHT,0
FUSED,RIGHT,UNKNOWN,2
FUSED,STRAIGHT,LEFT,0
FUSED,STRAIGHT,RIGHT,3
FUSED,STRAIGHT,STRAIGHT,0
FUSED,STRAIGHT,UNKNOWN,3
